,Unnamed: 0,label,predicate
170,6327,countri for sport,http://www.wikidata.org/prop/direct/P1532
13,17,countri of citizenship,http://www.wikidata.org/prop/direct/P27
50,250,countri of origin,http://www.wikidata.org/prop/direct/P495
49,242,country,http://www.wikidata.org/prop/direct/P17
170,6327,country for sport,http://www.wikidata.org/prop/direct/P1532
13,17,country of citizenship,http://www.wikidata.org/prop/direct/P27
50,250,country of origin,http://www.wikidata.org/prop/direct/P495
63,341,creat,http://www.wikidata.org/prop/direct/P170
63,341,creator,http://www.wikidata.org/prop/direct/P170
217,28233,crew member ( s ),http://www.wikidata.org/prop/direct/P1029
217,28233,crew member(s),http://www.wikidata.org/prop/direct/P1029
239,72769,dedic to,http://www.wikidata.org/prop/direct/P825
239,72769,dedicated to,http://www.wikidata.org/prop/direct/P825
134,2893,depart of,http://www.wikidata.org/prop/direct/P361
126,2390,depart of the series,http://www.wikidata.org/prop/direct/P179
162,5307,depict,http://www.wikidata.org/prop/direct/P180
192,9395,depict by,http://www.wikidata.org/prop/direct/P1299
192,9395,depicted by,http://www.wikidata.org/prop/direct/P1299
162,5307,depicts,http://www.wikidata.org/prop/direct/P180
71,396,deriv work,http://www.wikidata.org/prop/direct/P4969
71,396,derivative form,http://www.wikidata.org/prop/direct/P4969
71,396,derivative work,http://www.wikidata.org/prop/direct/P4969
71,396,derivative worker,http://www.wikidata.org/prop/direct/P4969
12,15,describ by sourc,http://www.wikidata.org/prop/direct/P1343
12,15,described by sourc,http://www.wikidata.org/prop/direct/P1343
12,15,described by source,http://www.wikidata.org/prop/direct/P1343
250,117129,design by,http://www.wikidata.org/prop/direct/P287
250,117129,designed by,http://www.wikidata.org/prop/direct/P287
70,392,develop,http://www.wikidata.org/prop/direct/P178
70,392,developer,http://www.wikidata.org/prop/direct/P178
29,63,differ from,http://www.wikidata.org/prop/direct/P1889
29,63,different from,http://www.wikidata.org/prop/direct/P1889
58,289,diplomaci relation,http://www.wikidata.org/prop/direct/P530
